Area,County,CancerType,Sex,AgeAdjustedRate,CaseCount,Population
Indiana,Pike County,Female Breast,Female,99.1,44,31183
Indiana,Lawrence County,Female Breast,Female,107.5,172,115523
Indiana,Jackson County,Female Breast,Female,99.1,128,109029
Indiana,Pulaski County,Female Breast,Female,107.6,50,31520
Indiana,Henry County,Female Breast,Female,107.2,169,117662
Indiana,Delaware County,Female Breast,Female,98.4,346,300899
Indiana,DeKalb County,Female Breast,Female,104.4,137,106741
Indiana,Randolph County,Female Breast,Female,104.8,90,64582
Indiana,Adams County,Female Breast,Female,106.6,103,87619
Indiana,Clay County,Female Breast,Female,114.4,98,67129
Indiana,Vanderburgh County,Female Breast,Female,119.1,676,469505
Indiana,Madison County,Female Breast,Female,123.6,515,324591
Indiana,Wells County,Female Breast,Female,118.7,112,70284
Indiana,Wayne County,Female Breast,Female,115.4,259,173594
Indiana,Tippecanoe County,Female Breast,Female,115.3,485,448805
Indiana,White County,Female Breast,Female,109.9,93,61182
Indiana,Whitley County,Female Breast,Female,114.3,127,83818
Indiana,Parke County,Female Breast,Female,108.2,63,45253
Indiana,Sullivan County,Female Breast,Female,113.9,77,47941
Indiana,Vigo County,Female Breast,Female,130,410,265852
Indiana,Clark County,Female Breast,Female,125.2,451,290602
Indiana,Warren County,Female Breast,Female,129.7,41,20804
Indiana,Crawford County,Female Breast,Female,127.8,45,26182
Indiana,Shelby County,Female Breast,Female,138,195,111869
Indiana,Orange County,Female Breast,Female,128.8,85,49572
Indiana,Marion County,Female Breast,Female,128.2,3272,2421201
Indiana,Warrick County,Female Breast,Female,142.5,278,154766
Indiana,Howard County,Female Breast,Female,133.7,373,213146
Indiana,Tipton County,Female Breast,Female,158.5,85,38570
Indiana,Montgomery County,Female Breast,Female,135.6,163,94480
Indiana,Monroe County,Female Breast,Female,124.3,419,359314
Indiana,LaGrange County,Female Breast,Female,110.7,102,95156
Indiana,Kosciusko County,Female Breast,Female,119.2,277,197291
Indiana,LaPorte County,Female Breast,Female,119.2,413,268618
Indiana,Lake County,Female Breast,Female,125.7,1946,1266099
Indiana,Greene County,Female Breast,Female,128.7,148,81464
Indiana,Gibson County,Female Breast,Female,128.8,137,84330
Indiana,Grant County,Female Breast,Female,118,275,177287
Indiana,Spencer County,Female Breast,Female,134.8,92,51299
Indiana,Bartholomew County,Female Breast,Female,125.3,305,201088
Indiana,Cass County,Female Breast,Female,113.5,135,95891
Indiana,Huntington County,Female Breast,Female,128.5,152,93036
Indiana,Blackford County,Female Breast,Female,115.3,50,31111
Indiana,Benton County,Female Breast,Female,111.7,31,21767
Indiana,Porter County,Female Breast,Female,124.3,651,423186
Indiana,Posey County,Female Breast,Female,125.4,104,64295
